n,Length to reach n,check
1428,35,True
1429,35,True
1430,27,True
1431,27,True
1432,35,True
1433,27,True
1434,35,True
1435,79,True
1436,53,True
1437,53,True
1438,53,True
1439,128,True
1440,22,True
1441,141,True
1442,48,True
1443,48,True
1444,48,True
1445,48,True
1446,48,True
1447,53,True
1448,22,True
1449,141,True
1450,22,True
1451,141,True
1452,48,True
1453,48,True
1454,48,True
1455,141,True
1456,97,True
1457,35,True
1458,35,True
1459,35,True
1460,97,True
1461,97,True
1462,141,True
1463,141,True
1464,97,True
1465,35,True
1466,97,True
1467,141,True
1468,48,True
1469,48,True
1470,48,True
1471,172,True
1472,22,True
1473,97,True
1474,141,True
1475,141,True
1476,22,True
1477,22,True
1478,22,True
1479,97,True
1480,48,True
1481,35,True
1482,48,True
1483,141,True
1484,48,True
1485,48,True
1486,97,True
1487,97,True
1488,22,True
1489,48,True
1490,92,True
1491,92,True
1492,22,True
1493,22,True
1494,48,True
1495,48,True
1496,48,True
1497,48,True
1498,48,True
1499,48,True
1500,48,True
1501,48,True
1502,141,True
1503,141,True
1504,110,True
1505,40,True
1506,22,True
1507,22,True
1508,66,True
1509,66,True
1510,66,True
1511,92,True
1512,110,True
1513,66,True
1514,110,True
1515,141,True
1516,61,True
1517,61,True
1518,61,True
1519,154,True
1520,110,True
1521,110,True
1522,35,True
1523,35,True
1524,110,True
1525,110,True
1526,154,True
1527,154,True
1528,48,True
1529,61,True
1530,48,True
1531,61,True
1532,48,True
1533,48,True
1534,61,True
1535,61,True
1536,17,True
1537,154,True
1538,35,True
1539,35,True
1540,35,True
1541,35,True
1542,35,True
1543,110,True
1544,123,True
1545,61,True
1546,123,True
1547,35,True
1548,123,True
1549,123,True
1550,154,True
1551,154,True
1552,123,True
1553,123,True
1554,35,True
1555,35,True
1556,123,True
1557,123,True
1558,61,True
1559,61,True
1560,123,True
1561,61,True
1562,123,True
1563,154,True
1564,123,True
1565,123,True
1566,123,True
1567,61,True
1568,30,True
1569,35,True
1570,123,True
1571,123,True
1572,61,True
1573,61,True
1574,61,True
1575,61,True
1576,30,True
1577,92,True
1578,30,True
1579,123,True
1580,79,True
1581,79,True
1582,79,True
1583,167,True
1584,30,True
1585,79,True
1586,79,True
1587,79,True
1588,30,True
1589,30,True
1590,105,True
1591,105,True
1592,123,True
1593,123,True
1594,123,True
1595,74,True
1596,123,True
1597,123,True
1598,74,True
1599,74,True
1600,30,True
1601,61,True
1602,61,True
1603,61,True
1604,22,True
1605,22,True
1606,22,True
1607,167,True
1608,22,True
1609,74,True
1610,22,True
1611,22,True
1612,22,True
1613,22,True
1614,74,True
1615,74,True
1616,30,True
1617,48,True
1618,48,True
1619,48,True
1620,30,True
1621,30,True
1622,136,True
1623,136,True
1624,43,True
1625,136,True
1626,43,True
1627,74,True
1628,43,True
1629,43,True
1630,136,True
1631,136,True
1632,30,True
1633,136,True
1634,43,True
1635,43,True
1636,43,True
1637,43,True
1638,43,True
1639,105,True
1640,30,True
1641,74,True
1642,30,True
1643,74,True
1644,136,True
1645,136,True
1646,136,True
1647,136,True
1648,92,True
1649,30,True
1650,136,True
1651,136,True
1652,92,True
1653,92,True
1654,43,True
1655,43,True
1656,92,True
1657,74,True
1658,92,True
1659,43,True
1660,136,True
1661,136,True
1662,136,True
1663,74,True
1664,17,True
1665,180,True
1666,30,True
1667,30,True
1668,136,True
1669,136,True
1670,136,True
1671,43,True
1672,43,True
1673,92,True
1674,43,True
1675,136,True
1676,43,True
1677,43,True
1678,87,True
1679,87,True
1680,43,True
1681,43,True
1682,43,True
1683,43,True
1684,43,True
1685,43,True
1686,43,True
1687,43,True
1688,43,True
1689,35,True
1690,43,True
1691,136,True
1692,35,True
1693,35,True
1694,35,True
1695,180,True
1696,17,True
1697,35,True
1698,61,True
1699,61,True
1700,61,True
1701,61,True
1702,61,True
1703,61,True
1704,17,True
1705,136,True
1706,17,True
1707,149,True
1708,56,True
1709,56,True
1710,56,True
1711,149,True
1712,105,True
1713,30,True
1714,30,True
1715,30,True
1716,105,True
1717,105,True
1718,149,True
1719,149,True
1720,105,True
1721,56,True
1722,105,True
1723,56,True
1724,43,True
1725,43,True
1726,43,True
1727,56,True
1728,118,True
1729,105,True
1730,149,True
1731,149,True
1732,30,True
1733,30,True
1734,30,True
1735,105,True
1736,30,True
1737,105,True
1738,30,True
1739,56,True
1740,30,True
1741,30,True
1742,180,True
1743,180,True
1744,118,True
1745,149,True
1746,149,True
1747,149,True
1748,118,True
1749,118,True
1750,30,True
1751,30,True
1752,56,True
1753,56,True
1754,56,True
1755,43,True
1756,56,True
1757,56,True
1758,149,True
1759,149,True
1760,118,True
1761,105,True
1762,118,True
1763,118,True
1764,30,True
1765,30,True
1766,30,True
1767,149,True
1768,118,True
1769,56,True
1770,118,True
1771,56,True
1772,56,True
1773,56,True
1774,56,True
1775,87,True
1776,74,True
1777,118,True
1778,149,True
1779,149,True
1780,74,True
1781,74,True
1782,48,True
1783,48,True
1784,74,True
1785,30,True
1786,74,True
1787,48,True
1788,100,True
1789,100,True
1790,100,True
1791,100,True
1792,25,True
1793,118,True
1794,69,True
1795,69,True
1796,118,True
1797,118,True
1798,118,True
1799,69,True
1800,56,True
1801,162,True
1802,56,True
1803,43,True
1804,56,True
1805,56,True
1806,118,True
